collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
13214,PaleoDB,"M. Carrano",,Allosaurus,,,4387,
13214,PaleoDB,"M. Carrano",,Allosaurus,,Creosaurus,4387,
13218,PaleoDB,"M. Carrano",,Orthomerus,,Hadrosauridae,4388,"Cretaceous 8"
13268,Fossilworks,"J. Alroy",,Hypsilophodon,,,4398,
13274,Fossilworks,"J. Alroy",,Carcharodontosaurus,,,9649,
13279,ETE,"M. Carrano","n. gen.",Scutellosaurus,,,4405,
13280,ETE,"M. Carrano",,Scutellosaurus,,,4405,
13281,PaleoDB,"M. Carrano",,Prismatoolithus,,,4406,"Cretaceous 7"
13281,PaleoDB,"M. Carrano",,Orodromeus,,Hypsilophodontidae,4406,"Cretaceous 7"
13281,PaleoDB,"M. Carrano",,Troodon,,Hypsilophodontidae,4406,"Cretaceous 7"
13282,PaleoDB,"M. Carrano",,Maiasaura,,,4406,"Cretaceous 7"
13282,PaleoDB,"M. Carrano",,Spheroolithus,,,4406,"Cretaceous 7"
13284,PaleoDB,"M. Carrano","n. gen.",Goyocephale,,,4408,
13286,ETE,"M. Carrano","n. gen.",Tethyshadros,,Hadrosauridae,23419,
13301,PaleoDB,"J. Hunter",,Hesperornis,,,4419,
13301,PaleoDB,"J. Hunter",,Ichthyornis,,,4419,
13305,PaleoDB,"J. Hunter","n. gen.",Neuquenornis,,,4423,"Cretaceous 6"
13305,PaleoDB,"J. Hunter","n. gen.",Patagopteryx,,,4423,"Cretaceous 6"
13305,PaleoDB,"J. Hunter","n. gen.",Alvarezsaurus,,,4423,"Cretaceous 6"
13306,PaleoDB,"J. Hunter","n. gen.",Telosichnus,,,6049,"Cretaceous 8"
13306,PaleoDB,"J. Hunter","n. gen.",Taponichnus,,,6049,"Cretaceous 8"
13306,PaleoDB,"J. Hunter","n. gen.",Salfitichnus,,,6049,"Cretaceous 8"
13306,PaleoDB,"J. Hunter","n. gen.",Yacoraitichnus,,,6049,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Enantiornis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter",,Elbretornis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Noasaurus,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Elbretornis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Saltasaurus,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Yungavolucris,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Soroavisaurus,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter",,Enantiornis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Lectavis,,,11730,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,,Aves,11730,"Cretaceous 8"
13309,PaleoDB,"J. Hunter","n. gen.",Neogaeornis,,,6052,"Cretaceous 8"
13312,PaleoDB,"J. Hunter","n. gen.",Alexornis,,,6054,"Cretaceous 7"
13326,PaleoDB,"M. Uhen",,Massospondylus,,Dinosauria,4425,"Jurassic 1"
13326,PaleoDB,"M. Uhen",,Massospondylus,,,4425,"Jurassic 1"
13331,PaleoDB,"M. Carrano",,Megaloolithus,,,36723,"Cretaceous 7"
13333,PaleoDB,"M. Carrano","n. gen.",Amargasaurus,,Dicraeosauridae,16627,
13334,PaleoDB,"M. Carrano",,Zalmoxes,,,5971,"Cretaceous 8"
13334,PaleoDB,"M. Carrano",,Telmatosaurus,,Dinosauria,5971,"Cretaceous 8"
13334,PaleoDB,"M. Carrano",,Balaur,,Theropoda,5971,"Cretaceous 8"
13334,PaleoDB,"M. Carrano",,Zalmoxes,,,5971,"Cretaceous 8"
13335,ETE,"M. Carrano",,Iguanodon,,,50241,"Cretaceous 1"
13335,ETE,"M. Carrano",,Mantellisaurus,,Vectisaurus,50241,"Cretaceous 1"
13335,ETE,"M. Carrano",,Iguanodon,,,50241,"Cretaceous 1"
13335,ETE,"M. Carrano",,Valdosaurus,,Valdosaurus,50241,"Cretaceous 1"
13335,ETE,"M. Carrano",,Owenodon,,Dryosaurus,50241,"Cretaceous 1"
